"生徒ＩＤ","学校区分","学年区分","高等部校舎コード","姓","名","カナ姓","カナ名","メールアドレス","志望校コード","大学名","学部名","学科名"
"22004109","4","3","1095","****","****","****","****","sm*l*1218nik*@icl**d.c*m","023015630410","","",""
"17008585","4","3","1095","****","****","****","****","y**j**sh*ng*ng*11@gm*il.c*m","024510810310","","",""
"23005233","4","3","1095","****","****","****","****","n**ch*b*n*41@icl**ld.c*m","024510810310","","",""
"22014747","4","3","1095","****","****","****","****","sh*nichir*2*240*1*@icl**d.c*m","024511510610","","",""
"23003810","4","3","1095","****","****","****","****","*h*g*.d*r*n*s*k*@icl**d.c*m","023501120410","","",""
"82910001","4","3","2291","豊田","ダミー01","トヨタ","ダミー01","toyota_dummy_01@example.invalid","000511510530","北海道大学","工","機械知能工学系-後期"
"82910002","4","3","2291","豊田","ダミー02","トヨタ","ダミー02","toyota_dummy_02@example.invalid","008515680230","筑波大学","生命環境学群","生物資源-後期"
"82910003","4","3","2291","豊田","ダミー03","トヨタ","ダミー03","toyota_dummy_03@example.invalid","023510510110","静岡大学","情報","情報科学-前期"
"82910004","4","3","2291","豊田","ダミー04","トヨタ","ダミー04","toyota_dummy_04@example.invalid","031502010110","神戸大学","法","法律-前期"
"82910005","4","3","2291","豊田","ダミー05","トヨタ","ダミー05","toyota_dummy_05@example.invalid","024013010210","浜松医科大学","医","看護-前期"
"82910006","4","3","2291","豊田","ダミー06","トヨタ","ダミー06","toyota_dummy_06@example.invalid","011000110110","東京大学","文科一類","文科一類-前期"
"82910007","4","3","2291","豊田","ダミー07","トヨタ","ダミー07","toyota_dummy_07@example.invalid","011000210110","東京大学","理科一類","理科一類-前期"
"82910008","4","3","2291","豊田","ダミー08","トヨタ","ダミー08","toyota_dummy_08@example.invalid","028001010110","京都大学","文","全学系-前期"
"82910009","4","3","2291","豊田","ダミー09","トヨタ","ダミー09","toyota_dummy_09@example.invalid","028010810110","京都大学","理","全学系-前期"
"82910010","4","3","2291","豊田","ダミー10","トヨタ","ダミー10","toyota_dummy_10@example.invalid","028006010112","京都大学","教育","全学系(理系)-前期"
"82910011","4","3","2291","豊田","ダミー11","トヨタ","ダミー11","toyota_dummy_11@example.invalid","028003010113","京都大学","経済","経済経営(理系)-前期"
"82910012","4","3","2291","豊田","ダミー12","トヨタ","ダミー12","toyota_dummy_12@example.invalid","024501010110","名古屋大学","文","人文-前期"
"82910013","4","3","2291","豊田","ダミー13","トヨタ","ダミー13","toyota_dummy_13@example.invalid","024503010110","名古屋大学","経済","経済・経営-前期"
"82910014","4","3","2291","豊田","ダミー14","トヨタ","ダミー14","toyota_dummy_14@example.invalid","024510810110","名古屋大学","理","数理・物理・化学-前期"
"82910015","4","3","2291","豊田","ダミー15","トヨタ","ダミー15","toyota_dummy_15@example.invalid","024515510110","名古屋大学","農","応用生命科学-前期"
"82910016","4","3","2291","豊田","ダミー16","トヨタ","ダミー16","toyota_dummy_16@example.invalid","024510580210","名古屋大学","情報文化","自然情報-前期"
"82910017","4","3","2291","豊田","ダミー17","トヨタ","ダミー17","toyota_dummy_17@example.invalid","024013010110","浜松医科大学","医","医学-前期"
"82910018","4","3","2291","豊田","ダミー18","トヨタ","ダミー18","toyota_dummy_18@example.invalid","011000210110","東京大学","理科一類","理科一類-前期"
"82910019","4","3","2291","豊田","ダミー19","トヨタ","ダミー19","toyota_dummy_19@example.invalid","028010810110","京都大学","理","全学系-前期"
"82910020","4","3","2291","豊田","ダミー20","トヨタ","ダミー20","toyota_dummy_20@example.invalid","024013010110","浜松医科大学","医","医学-前期"
